,Municipio,UF,NomeEstacao,CodEstacao,Latitude,Longitude,Altitude,StatusEstacao
0,São Félix Do Xingú,PA,UHE Belo Monte Joari,652002,-6.5603,-52.0764,0.0,Ativo
1,Caruaru,PE,Caruaru,835106,-8.3028,-36.0108,545.0,Ativo
2,Rio Do Prado,MG,PCH Machado Mineiro Passagem Das Éguas,1542030,-15.6092,-42.5417,0.0,Ativo
3,Jaíba,MG,PZ_Faz Santa Helena,1543028,-15.3736,-43.6842,0.0,Ativo
4,Jaíba,MG,PZ_Linha II,1543029,-15.3847,-43.7292,0.0,Ativo
5,Jaíba,MG,PZ_Proj Jaíba,1543030,-15.2608,-43.775,0.0,Ativo
6,Barro Alto,GO,UHE Serra Da Mesa Barro Alto,1548050,-15.1175,-48.9242,584.0,Ativo
7,São João Da Ponte,MG,PZ_Bom Jardim,1643045,-16.1108,-43.8531,0.0,Ativo
8,Montes Claros,MG,PZ_Barra Do Rio Verde,1643046,-16.1761,-43.7742,0.0,Ativo
9,Montes Claros,MG,PZ_Pelg,1643047,-16.7056,-43.7672,0.0,Ativo
10,Montes Claros,MG,PZ_Ete Vieira,1643048,-16.6872,-43.8544,0.0,Ativo
11,Cristalina,GO,UHE Batalha Cristalina,1647002,-16.7881,-47.6033,1173.0,Ativo
12,Cristalina,GO,UHE Batalha Fazenda Buriti,1647023,-16.9683,-47.3419,881.0,Ativo
13,Unaí,MG,UHE Batalha Sítio Olho D' Água,1647024,-16.3892,-47.1508,974.0,Ativo
14,Lassance,MG,Lassance,1744010,-17.89,-44.5767,536.0,Ativo
15,Piracanjuba,GO,UHE Itumbiara Piracanjuba,1749015,-17.3106,-49.0219,730.0,Ativo
16,Água Limpa,GO,UHE Itumbiara Água Limpa,1848059,-18.0747,-48.7564,711.0,Ativo
17,Anhanguera,GO,UHE Itumbiara Fazenda Rosas,1848060,-18.3233,-48.2264,0.0,Ativo
18,Antônio Dias,MG,UHE Sá Carvalho Jusante,1942049,-19.6347,-42.8061,0.0,Ativo
19,Serra Do Salitre,MG,CGH Santa Luzia Se Serra Do Salitre,1946024,-19.1183,-46.6817,0.0,Ativo
20,Rio Casca,MG,CGH Nova Ponte Queimada II Barramento,2042436,-20.2769,-42.6517,350.0,Ativo
21,Pedregulho,SP,UHE Luiz Carlos Barreto De Carvalho Met,2047115,-20.1583,-47.2781,725.0,Ativo
22,Juiz De Fora,MG,PCH Marmelos Chapéu D'uvas,2143162,-21.5853,-43.5272,746.0,Ativo
23,Cravinhos,SP,Fazenda Das Flores,2147012,-21.3333,-47.7833,720.0,Ativo
24,Ribeirão Preto,SP,Fazenda Resfriado,2147013,-21.3,-47.9333,590.0,Ativo
25,Cravinhos,SP,Cravinhos,2147014,-21.3667,-47.7167,700.0,Ativo
26,Valença,RJ,UHE Simplício Fazenda Santa Mônica,2243507,-22.3608,-43.6978,0.0,Ativo
27,Sapucaia,RJ,UHE Simplício Meteorológica,2243508,-22.0389,-43.0006,414.0,Ativo
28,Resende,RJ,UHE Funil Resende Aeroporto,2244161,-22.4756,-44.4736,0.0,Ativo
29,Guaratinguetá,SP,UHE Funil Guaratinguetá,2245032,-22.8089,-45.2008,558.0,Ativo
30,Tibagi,PR,Bom Jardim Montante,2450009,-24.6778,-50.4844,750.0,Ativo
31,Santa Maria Do Oeste,PR,UHE Itaipu Santa Maria,2451059,-24.9333,-51.8833,550.0,Ativo
32,Piraquara,PR,Entremar,2549113,-25.4892,-49.0408,900.0,Ativo
33,Guarapuava,PR,UHE Fundão Guarapuava,2551070,-25.3847,-51.4939,0.0,Ativo
34,Pinhão,PR,UHE Fundão Pinhão,2551071,-25.6492,-51.9625,0.0,Ativo
35,Guarapuava,PR,UHE Santa Clara Entre Rios,2551072,-25.5458,-51.4883,0.0,Ativo
36,Sananduva,RS,Cooperativa Tritícola Sananduva,2751063,-27.9589,-51.7956,0.0,Ativo
37,Pinhal Da Serra,RS,Parque De Eventos Pinhal Da Serra,2751066,-27.8792,-51.1769,0.0,Ativo
38,Constantina,RS,COOPAC Constantina,2752060,-27.7253,-52.9781,0.0,Ativo
39,Sarandi,RS,Agrop. Papagaio Charõa Sarandi,2752061,-27.9253,-52.82,0.0,Ativo
40,Barra Do Rio Azul,RS,Prefeitura Barra Do Rio Azul,2752062,-27.41,-52.4156,0.0,Ativo
41,Cerro Grande,RS,Prefeitura Cerro Grande,2753053,-27.6103,-53.1667,0.0,Ativo
42,Erval Seco,RS,CGH Rio Fortaleza Barramento,2753057,-27.4736,-53.4578,341.0,Ativo
43,Taquaruçu Do Sul,RS,CGH Linha Granja Velha Barramento,2753058,-27.4267,-53.54,277.0,Ativo
44,Seberi,RS,CGH Carlos Bevilácqua Barramento,2753059,-27.6028,-53.3917,468.0,Ativo
45,Crissiumal,RS,CGH Caa Yari Barramento,2754026,-27.4286,-54.1217,184.0,Ativo
46,São José Dos Ausentes,RS,Pousada Aparados Da Serra S.J. Ausentes,2849066,-28.6064,-49.8206,0.0,Ativo
47,Bom Jesus,RS,Brigada Militar Bom Jesus,2850048,-28.6717,-50.4336,0.0,Ativo
48,Guaporé,RS,Guaporé,2851044,-28.8444,-51.8792,520.0,Ativo
49,Esmeralda,RS,Parque De Rodeios Esmeralda,2851079,-28.0653,-51.17,0.0,Ativo
50,Vista Alegre Do Prata,RS,CGH São Domingos Do Prata Barramento,2851080,-28.8092,-51.7364,411.0,Ativo
51,Soledade,RS,CGH Taipinha Barramento,2851085,-28.9364,-51.5058,555.0,Ativo
52,Carazinho,RS,Aeroclube Carazinho,2852074,-28.3225,-52.8164,0.0,Ativo
53,Tapejara,RS,Polo UAB Tapejara,2852075,-28.0892,-52.0061,0.0,Ativo
54,Fontoura Xavier,RS,CGH Soledade Barramento,2852077,-28.9378,-52.4856,533.0,Ativo
55,Panambi,RS,Instituto Federal Panambi,2853052,-28.2817,-53.5158,0.0,Ativo
56,Santa Barbara Do Sul,RS,Fazenda Roos Santa Bárbara Do Sul,2853053,-28.1833,-53.2242,0.0,Ativo
57,Boa Vista Do Cadeado,RS,CGH Igrejinha Barramento,2853054,-28.7953,-53.9714,0.0,Ativo
58,Boa Vista Do Cadeado,RS,CGH Formigueiro Barramento,2853055,-28.5369,-53.8603,0.0,Ativo
59,Condor,RS,CGH João Do Passo Barramento,2853056,-28.245,-53.4156,439.0,Ativo
60,Capão Do Cipó,RS,Escola Capão Do Cipó,2854031,-28.9417,-54.5578,0.0,Ativo
61,Bossoroca,RS,Coopatrigo Bossoroca,2854032,-28.7325,-54.9117,0.0,Ativo
62,Tupancireta,RS,Santa Tecla Tupanciretã,2854036,-28.9003,-54.1589,0.0,Ativo
63,Guarani Das Missões,RS,CGH Coopermil Jusante,2854039,-28.1389,-54.5464,245.0,Ativo
64,Garibaldi,RS,CRAS Garruchos,2855017,-28.1925,-55.6378,0.0,Ativo
65,Santo Antônio Das Missões,RS,Brigada Militar Sto. Antônio Missões,2855018,-28.5128,-55.2286,0.0,Ativo
66,Torres,RS,Aeroporto Torres,2949025,-29.4142,-49.8047,0.0,Ativo
67,Morrinhos Do Sul,RS,Prefeitura Morrinhos Do Sul,2949027,-29.3686,-49.9331,0.0,Ativo
68,Jacinto Machado,SC,Barragem Do Rio Leão,2949029,-29.0922,-49.8808,0.0,Ativo
69,Cambará Do Sul,RS,Cânion Fortaleza Cambará Do Sul,2949030,-29.0842,-49.9986,0.0,Ativo
70,Morrinhos Do Sul,RS,Morro Do Forno Morrinhos Do Sul,2949031,-29.3167,-49.9825,0.0,Ativo
71,São Francisco De Paula,RS,Capão Dos Coxos,2950045,-29.4083,-50.5842,890.0,Ativo
72,Santo Antônio Da Patrulha,RS,Brigada Militar Sto. Antônio Da Patrulha,2950103,-29.8264,-50.5181,0.0,Ativo
73,Capão Da Canoa,RS,Aeroporto Capáo Da Canoa,2950104,-29.7661,-50.0383,0.0,Ativo
74,Osório,RS,Eta Corsan Osório,2950106,-29.8889,-50.2581,0.0,Ativo
75,Rolante,RS,Boa Esperança Rolante,2950107,-29.5586,-50.5025,0.0,Ativo
76,São Francisco De Paula,RS,Fazenda Taipas - S.F. De Paula,2950108,-29.4686,-50.4519,0.0,Ativo
77,Cambará Do Sul,RS,Pq. Aparados Da Serra Cambará Do Sul,2950109,-29.1586,-50.0789,0.0,Ativo
78,Maquiné,RS,Prop. Barra Do Ouro,2950110,-29.5681,-50.285,0.0,Ativo
79,São Francisco De Paula,RS,Rincão Dos Kroeff S.F. De Paula,2950111,-29.4864,-50.3536,0.0,Ativo
80,Morro Reuter,RS,Morro Reuter,2951142,-29.5289,-51.0369,492.0,Ativo
81,Carlos Barbosa,RS,ASCLA Santa Clara Carlos Barbosa,2951144,-29.315,-51.4883,0.0,Ativo
